time,tpx,px,mpx,tvx,vx,mbax
0.126000,63.062970,63.016613,nan,499.999199,499.999324,-0.021370
0.127000,63.563470,63.516613,nan,499.999184,499.999308,-0.017054
0.128000,64.063969,64.016612,nan,499.999168,499.999297,-0.010853
0.129000,64.564468,64.516611,nan,499.999152,499.999285,-0.012102
0.130000,65.064967,65.016611,nan,499.999135,499.999262,-0.023882
0.131000,65.565466,65.516610,nan,499.999119,499.999256,-0.006343
0.132000,66.065965,66.016609,nan,499.999102,499.999244,-0.012145
0.133000,66.566464,66.516608,nan,499.999085,499.999258,0.013725
0.134000,67.066963,67.016608,nan,499.999068,499.999238,-0.020635
0.135000,67.567463,67.516607,nan,499.999051,499.999199,-0.038350
0.136000,68.067962,68.016606,nan,499.999033,499.999198,-0.001930
0.137000,68.568461,68.516605,nan,499.999016,499.999168,-0.030321
0.138000,69.068960,69.016604,nan,499.998998,499.999169,0.001030
0.139000,69.569459,69.516603,nan,499.998980,499.999150,-0.020171
0.140000,70.069958,70.016603,nan,499.998961,499.999124,-0.026005
0.141000,70.570456,70.516602,nan,499.998943,499.999084,-0.040571
0.142000,71.070955,71.016601,nan,499.998924,499.999073,-0.011299
0.143000,71.571454,71.516600,nan,499.998906,499.999034,-0.039112
0.144000,72.071953,72.016599,nan,499.998887,499.999010,-0.024495
0.145000,72.572452,72.516598,nan,499.998867,499.998987,-0.023809
0.146000,73.072951,73.016597,nan,499.998848,499.998953,-0.033953
0.147000,73.573450,73.516596,nan,499.998828,499.998948,-0.005716
0.148000,74.073949,74.016595,nan,499.998809,499.998947,-0.001508
0.149000,74.574447,74.516594,nan,499.998789,499.998946,-0.001521
0.150000,75.074946,75.016593,nan,499.998769,499.998932,-0.014453
0.151000,75.575445,75.516592,nan,499.998748,499.998943,0.010733
0.152000,76.075944,76.016590,nan,499.998728,499.998949,0.005488
0.153000,76.576442,76.516589,nan,499.998707,499.998921,-0.028029
0.154000,77.076941,77.016588,nan,499.998686,499.998879,-0.042413
0.155000,77.577440,77.516587,nan,499.998665,499.998847,-0.031795
0.156000,78.077938,78.016586,nan,499.998644,499.998801,-0.045544
0.157000,78.578437,78.516585,nan,499.998623,499.998771,-0.030174
0.158000,79.078935,79.016584,nan,499.998602,499.998743,-0.028137
0.159000,79.579434,79.516582,nan,499.998581,499.998742,-0.001140
0.160000,80.079933,80.016581,nan,499.998559,499.998720,-0.021950
0.161000,80.580431,80.516580,nan,499.998538,499.998708,-0.011339
0.162000,81.080930,81.016578,nan,499.998516,499.998704,-0.004655
0.163000,81.581428,81.516577,nan,499.998494,499.998703,-0.000343
0.164000,82.081927,82.016576,nan,499.998472,499.998679,-0.023740
0.165000,82.582425,82.516574,nan,499.998451,499.998640,-0.039479
0.166000,83.082923,83.016573,nan,499.998429,499.998605,-0.034748
0.167000,83.583422,83.516572,nan,499.998407,499.998582,-0.022808
0.168000,84.083920,84.016570,nan,499.998385,499.998577,-0.004591
0.169000,84.584419,84.516569,nan,499.998363,499.998558,-0.018967
0.170000,85.084917,85.016567,nan,499.998341,499.998539,-0.018548
0.171000,85.585415,85.516566,nan,499.998319,499.998517,-0.022291
0.172000,86.085914,86.016564,nan,499.998297,499.998490,-0.026357
0.173000,86.586412,86.516563,nan,499.998275,499.998474,-0.016225
0.174000,87.086910,87.016561,nan,499.998253,499.998440,-0.033702
0.175000,87.587408,87.516560,nan,499.998231,499.998418,-0.021758
0.176000,88.087907,88.016558,nan,499.998209,499.998392,-0.026141
0.177000,88.588405,88.516557,nan,499.998187,499.998378,-0.013133
0.178000,89.088903,89.016555,nan,499.998165,499.998369,-0.009466
0.179000,89.589401,89.516553,nan,499.998143,499.998356,-0.012803
0.180000,90.089899,90.016552,nan,499.998121,499.998314,-0.041976
0.181000,90.590397,90.516550,nan,499.998099,499.998297,-0.016940
0.182000,91.090895,91.016548,nan,499.998076,499.998275,-0.021961
0.183000,91.591393,91.516547,nan,499.998054,499.998251,-0.023385
0.184000,92.091891,92.016545,nan,499.998032,499.998245,-0.006126
0.185000,92.592389,92.516543,nan,499.998010,499.998238,-0.006352
0.186000,93.092887,93.016541,nan,499.997988,499.998216,-0.022595
0.187000,93.593385,93.516539,nan,499.997966,499.998208,-0.007656
0.188000,94.093883,94.016538,nan,499.997944,499.998156,-0.051897
0.189000,94.594381,94.516536,nan,499.997922,499.998138,-0.017868
0.190000,95.094879,95.016534,nan,499.997900,499.998121,-0.016393
0.191000,95.595377,95.516532,nan,499.997878,499.998115,-0.006734
0.192000,96.095875,96.016530,nan,499.997856,499.998110,-0.004061
0.193000,96.596373,96.516528,nan,499.997834,499.998090,-0.020122
0.194000,97.096871,97.016526,nan,499.997812,499.998077,-0.012818
0.195000,97.597368,97.516524,nan,499.997790,499.998071,-0.006157
0.196000,98.097866,98.016522,nan,499.997768,499.998061,-0.010186
0.197000,98.598364,98.516520,nan,499.997746,499.998023,-0.037676
0.198000,99.098862,99.016519,nan,499.997724,499.998016,-0.006812
0.199000,99.599359,99.516517,nan,499.997702,499.997996,-0.019613
0.200000,100.099857,100.016515,nan,499.997681,499.997998,0.001226
0.201000,100.600355,100.516512,nan,499.997659,499.997949,-0.048386
0.202000,101.100852,101.016510,nan,499.997637,499.997934,-0.015246
0.203000,101.601350,101.516508,nan,499.997615,499.997909,-0.024663
